id,attr_time,a_x,a_y,a_z,g_x,g_y,g_z
1,1.43819E+12,-8.97646,4.0336313,-0.84096336,-0.009826958,-0.06124588,-0.015749708
2,1.43819E+12,-8.974665,4.0276456,-0.85293436,-0.016546473,-0.045668818,0.005936012
3,1.43819E+12,-9.001001,4.036624,-0.8571242,-0.01990623,-0.045057952,0.031286925
4,1.43819E+12,-9.050681,4.043208,-0.82599956,-0.020517096,-0.046279684,0.060608447
5,1.43819E+12,-8.974067,4.0581717,-0.777517,-0.023265988,-0.05238834,0.10367444
6,1.43819E+12,-8.837597,4.1186256,-0.7350199,-0.023571424,-0.06368934,0.1406318
7,1.43819E+12,-8.733449,4.1862617,-0.7104794,-0.011659548,-0.06735454,0.1882793
8,1.43819E+12,-8.755595,4.279037,-0.7188591,-5.31E-05,-0.06277305,0.21912798
9,1.43819E+12,-8.634089,4.336498,-0.7278373,0.007582702,-0.04811228,0.23775938
10,1.43819E+12,-8.520964,4.421492,-0.7410054,0.012775056,-0.043530792,0.26311028
11,1.43819E+12,-8.450335,4.5418005,-0.7529764,0.014302224,-0.034062378,0.26188853
12,1.43819E+12,-8.307879,4.6680946,-0.75477207,0.02224347,-0.02215051,0.2484495
13,1.43819E+12,-8.185177,4.7578773,-0.7781156,0.023465201,-0.007489743,0.20782697
14,1.43819E+12,-8.185776,4.9176903,-0.83378077,0.015829384,-0.002908254,0.14093724
15,1.43819E+12,-8.162432,5.0481744,-0.8391677,0.013080493,0.002894966,0.05083461
16,1.43819E+12,-8.128913,5.097255,-0.8631097,-0.000663973,0.017861163,-0.003226966
17,1.43819E+12,-8.112154,5.12838,-0.866701,-0.02143339,0.019693758,-0.08538834
18,1.43819E+12,-8.191162,5.0787005,-0.84096336,-0.057169013,0.026413277,-0.16724429
19,1.43819E+12,-8.251018,4.9823337,-0.80804306,-0.078549296,0.043822937,-0.22863623
20,1.43819E+12,-8.265383,4.863222,-0.79846627,-0.09870785,0.058483705,-0.27628374
21,1.43819E+12,-8.349778,4.7860093,-0.79248077,-0.10451107,0.0752825,-0.30438352
22,1.43819E+12,-8.413225,4.722563,-0.78410107,-0.10359477,0.083223745,-0.33523223
23,1.43819E+12,-8.497022,4.699219,-0.8074445,-0.09931871,0.09116499,-0.35355818
24,1.43819E+12,-8.567052,4.6645036,-0.84335756,-0.08710141,0.09574649,-0.36333203
25,1.43819E+12,-8.646061,4.6285906,-0.83976626,-0.071524344,0.0902487,-0.35294732
26,1.43819E+12,-8.589199,4.6004586,-0.8774749,-0.06449939,0.076198794,-0.34286803
27,1.43819E+12,-8.5778265,4.619612,-0.8870517,-0.06388853,0.06856298,-0.34225717
28,1.43819E+12,-8.610147,4.619612,-0.878672,-0.051671226,0.050237022,-0.3715787
29,1.43819E+12,-8.67958,4.575918,-0.86011696,-0.047395166,0.018166596,-0.40212196
30,1.43819E+12,-8.65863,4.5394063,-0.83258367,-0.04220281,-0.00718431,-0.41128495
31,1.43819E+12,-8.608353,4.482544,-0.82360536,-0.04037022,-0.023372242,-0.41036865
32,1.43819E+12,-8.637681,4.4382515,-0.81283146,-0.035177864,-0.032535218,-0.42472398
33,1.43819E+12,-8.656237,4.4179006,-0.80325466,-0.039759353,-0.04108733,-0.45526725
34,1.43819E+12,-8.692149,4.3275194,-0.7505822,-0.046478868,-0.04383622,-0.46443024
35,1.43819E+12,-8.727464,4.204817,-0.7356185,-0.05747444,-0.038949303,-0.46107048
36,1.43819E+12,-8.752005,4.1599255,-0.729633,-0.06480482,-0.026121134,-0.46168134
37,1.43819E+12,-8.762778,4.098873,-0.7134721,-0.075800404,-0.015430993,-0.46534652
