id,attr_time,a_x,a_y,a_z,g_x,g_y,g_z
1,1.436E+12,-3.5859156,9.165603,0.5398925,-0.08363542,-0.1433143,0.13449658
2,1.436E+12,-3.4386723,9.077616,0.6063316,-0.06103341,-0.21295293,0.10303703
3,1.436E+12,-3.2106245,8.965687,0.7529764,-0.030184714,-0.26426563,0.0709666
4,1.436E+12,-3.0340521,8.980651,0.8571242,0.017462775,-0.27923182,0.041645072
5,1.436E+12,-2.8760347,9.050681,0.9391256,0.059612475,-0.27220687,0.041645072
6,1.436E+12,-2.846706,9.15842,0.95588505,0.07732757,-0.22853,0.03614728
7,1.436E+12,-2.8089972,9.227253,0.90740246,0.07030262,-0.15308814,0.044393964
8,1.436E+12,-2.8030117,9.272144,0.84934306,0.056863584,-0.06206922,0.05080805
9,1.436E+12,-2.8568811,9.302073,0.79128367,0.025098592,0.00787485,0.06241449
10,1.436E+12,-2.967613,9.257779,0.712275,0.000358549,0.10500242,0.086238235
11,1.436E+12,-3.0969,9.229049,0.6853402,-0.01949457,0.17586279,0.10609135
12,1.436E+12,-3.2184057,9.215282,0.6500258,-0.03110101,0.22045596,0.12838793
13,1.436E+12,-3.2782607,9.159617,0.6278794,-0.031711876,0.21831793,0.1317477
14,1.436E+12,-3.2662897,9.141062,0.62488663,-0.014913082,0.2012137,0.121057555
15,1.436E+12,-3.2746694,9.173983,0.6015432,-0.004528373,0.16975413,0.10609135
16,1.436E+12,-3.2788591,9.144653,0.60812724,0.011354124,0.13493481,0.092346884
17,1.436E+12,-3.2836475,9.147048,0.6135142,0.0214334,0.089425355,0.073104635
18,1.436E+12,-3.2782607,9.155427,0.6206968,0.037315898,0.042388733,0.07371549
19,1.436E+12,-3.2585084,9.156625,0.62368953,0.049227767,0.011234608,0.07371549
20,1.436E+12,-3.2160115,9.217676,0.61650693,0.049838632,-0.016559761,0.07127203
21,1.436E+12,-3.1842883,9.263765,0.60453594,0.036094166,-0.027860772,0.054778673
22,1.436E+12,-3.1399956,9.302073,0.6075287,0.020211669,-0.03824548,0.048364587
23,1.436E+12,-3.083732,9.301474,0.59974754,0.007078067,-0.039467204,0.019043056
24,1.436E+12,-3.0538042,9.257779,0.63206923,-0.005139238,-0.017476056,0.002549693
25,1.436E+12,-3.0753522,9.251794,0.66379243,-0.01949457,-0.002815295,-0.005696986
26,1.436E+12,-3.1268275,9.220071,0.6817489,-0.032628175,0.020397587,-0.003864389
27,1.436E+12,-3.144784,9.19553,0.7380127,-0.038736828,0.0429996,0.006214887
28,1.436E+12,-3.1783028,9.112331,0.74519527,-0.040263988,0.064685315,0.01843219
29,1.436E+12,-3.2441432,9.103952,0.7428011,-0.041180287,0.08026238,0.02179195
30,1.436E+12,-3.2968156,9.118916,0.7314286,-0.03995856,0.08576017,0.027289737
31,1.436E+12,-3.3476925,9.097368,0.7278373,-0.046067208,0.09706117,0.038896177
32,1.436E+12,-3.3608606,9.068039,0.7691373,-0.040263988,0.09431228,0.052946076
33,1.436E+12,-3.3315318,9.066243,0.7739257,-0.02743582,0.087898195,0.06363622
34,1.436E+12,-3.3010056,9.040505,0.80684596,-0.021327168,0.07507002,0.066079676
35,1.436E+12,-3.2483332,9.095572,0.79966336,-0.01124789,0.071710266,0.063025355
36,1.436E+12,-3.2393548,9.118916,0.7846996,-0.004528373,0.05949296,0.05202978
37,1.436E+12,-3.2136173,9.167398,0.79966336,-0.003001209,0.054911472,0.035230987
38,1.436E+12,-3.177704,9.157223,0.7739257,0.004634606,0.04880282,0.013239836
39,1.436E+12,-3.21661,9.226655,0.7793127,0.000969415,0.03719638,0.002855126
40,1.436E+12,-3.247136,9.215282,0.7739257,-0.016440244,0.032309458,-0.004780687
41,1.436E+12,-3.2399535,9.1255,0.8343793,-0.016745677,0.020092154,0.006214887
42,1.436E+12,-3.2573113,9.100361,0.8583213,-0.015829379,0.017648693,0.027900603
43,1.436E+12,-3.2333694,9.156026,0.89303726,-0.013385918,0.010929175,0.056916703
44,1.436E+12,-3.2638955,9.113529,0.90740246,-0.0216326,0.006347686,0.07860242
45,1.436E+12,-3.1902738,9.018958,0.93373865,-0.01124789,0.020092154,0.085016504
46,1.436E+12,-3.1735144,9.038112,0.91697925,0.007078067,0.04177787,0.08226761
47,1.436E+12,-3.1998506,9.072827,0.91338795,0.008605231,0.0692668,0.08837626
48,1.436E+12,-3.2279825,9.06744,0.90261406,0.006467202,0.09858833,0.10486962
49,1.436E+12,-3.2650926,9.062652,0.88166475,0.006772634,0.11447084,0.124111876
50,1.436E+12,-3.3117795,9.123704,0.85473,0.007688933,0.120884925,0.16137466
51,1.436E+12,-3.3010056,9.132084,0.83497787,-0.001474046,0.12180121,0.18458754
52,1.436E+12,-3.2501287,9.120112,0.8194155,0.00280201,0.12027405,0.19100162
53,1.436E+12,-3.2399535,9.150639,0.7918822,0.008910663,0.1028644,0.17970061
54,1.436E+12,-3.1836896,9.201516,0.8098387,0.013492152,0.09156339,0.16351268
55,1.436E+12,-3.128623,9.217078,0.81343,0.016546478,0.08087324,0.14671388
56,1.436E+12,-3.0969,9.232041,0.79367787,0.01898994,0.06743421,0.13052596
57,1.436E+12,-3.0813377,9.291897,0.7870938,0.012881286,0.05216258,0.115254335
58,1.436E+12,-3.09271,9.298481,0.79367787,0.004634606,0.04513763,0.10212073
59,1.436E+12,-3.0556,9.241618,0.79726917,-0.002695777,0.037807245,0.099677265
60,1.436E+12,-3.0544028,9.2494,0.8295909,-0.003612075,0.031087728,0.09540121
61,1.436E+12,-3.0340521,9.218275,0.84335756,-0.003917507,0.034447487,0.09692837
62,1.436E+12,-3.0310593,9.218874,0.8571242,-0.003612075,0.031087728,0.098150104
63,1.436E+12,-3.0304608,9.248202,0.8714894,-0.010331593,0.029255131,0.09570664
64,1.436E+12,-2.9712043,9.173983,0.88166475,-0.013691351,0.031698592,0.08532193
65,1.436E+12,-2.9706059,9.200917,0.91458505,-0.003001209,0.037807245,0.076158956
66,1.436E+12,-2.947861,9.226056,0.9032126,-0.006971833,0.04422133,0.073104635
67,1.436E+12,-2.9694088,9.232041,0.93852705,-0.010942457,0.059187528,0.06699598
68,1.436E+12,-2.9430726,9.188946,0.95109665,-0.009109862,0.071710266,0.059971027
69,1.436E+12,-2.9281087,9.19134,0.9415198,-0.002084912,0.08545473,0.062109057
70,1.436E+12,-2.9502552,9.238626,0.9403227,0.000358549,0.101031795,0.064552516
71,1.436E+12,-2.9562407,9.202713,0.9223662,0.004329173,0.12027405,0.06852314
72,1.436E+12,-2.9652188,9.170391,0.9115923,0.005245471,0.12516098,0.062109057
73,1.436E+12,-2.954445,9.222465,0.8870517,0.008910663,0.1291316,0.058749296
74,1.436E+12,-2.9855695,9.275137,0.8834604,0.004634606,0.13340765,0.051113483
75,1.436E+12,-3.004723,9.271546,0.89064306,-0.002695777,0.13310222,0.0428668
76,1.436E+12,-2.9855695,9.215881,0.88645315,0.004940039,0.13065876,0.032787524
77,1.436E+12,-2.9783869,9.169792,0.8834604,0.019906236,0.12363382,0.015683297
78,1.436E+12,-2.984971,9.162011,0.86490536,0.029374648,0.11844146,0.015683297
79,1.436E+12,-3.0352492,9.213487,0.8367735,0.029985514,0.122412086,0.019959355
