id,attr_time,a_x,a_y,a_z,g_x,g_y,g_z
1,1.43599E+12,-1.3275849,9.685144,0.0676362,0.06015694,-0.014647488,-0.093953736
2,1.43599E+12,-1.3772645,9.654019,0.0676362,0.061378673,-0.01128773,-0.099756956
3,1.43599E+12,-1.4197617,9.685743,0.054468088,0.06565473,-0.012204025,-0.10494931
4,1.43599E+12,-1.4335283,9.6845455,0.062249243,0.06290583,-0.021672437,-0.102811284
5,1.43599E+12,-1.4269443,9.701305,0.05746084,0.06687646,-0.035416905,-0.097008064
6,1.43599E+12,-1.3922282,9.672575,0.061052144,0.06931992,-0.04488532,-0.09334287
7,1.43599E+12,-1.3844471,9.673772,0.039504327,0.06718189,-0.04305272,-0.09028854
8,1.43599E+12,-1.3790601,9.683349,0.035314474,0.06901449,-0.04396902,-0.08723422
9,1.43599E+12,-1.3718776,9.67856,0.037708677,0.06504387,-0.038471233,-0.09212114
10,1.43599E+12,-1.3694834,9.65821,0.039504327,0.06779276,-0.032057147,-0.09364831
11,1.43599E+12,-1.3916297,9.682152,0.019752163,0.06565473,-0.030835416,-0.09151027
12,1.43599E+12,-1.401805,9.673772,0.054468088,0.065349296,-0.033278875,-0.08876138
13,1.43599E+12,-1.3934253,9.674969,0.035913024,0.061378673,-0.032668013,-0.085401624
14,1.43599E+12,-1.3850456,9.703699,0.04189853,0.059546076,-0.029919118,-0.086928785
15,1.43599E+12,-1.3736732,9.6845455,0.038307227,0.058018915,-0.03022455,-0.07776581
16,1.43599E+12,-1.3904326,9.698911,0.04309563,0.056797184,-0.031140849,-0.081125565
17,1.43599E+12,-1.3688848,9.674969,0.05626374,0.057713483,-0.029919118,-0.083874464
18,1.43599E+12,-1.3772645,9.67856,0.05267244,0.057102617,-0.03480604,-0.08937225
19,1.43599E+12,-1.3718776,9.686341,0.06943185,0.053131994,-0.03388974,-0.09151027
20,1.43599E+12,-1.3796587,9.677363,0.073621705,0.058935214,-0.04488532,-0.091204844
21,1.43599E+12,-1.3664906,9.657611,0.08559271,0.0635167,-0.04488532,-0.09425917
22,1.43599E+12,-1.3802572,9.6767645,0.090979666,0.06748733,-0.046717912,-0.10220042
23,1.43599E+12,-1.3628993,9.667787,0.090381116,0.06657103,-0.044274453,-0.10128412
24,1.43599E+12,-1.3724761,9.659407,0.08619126,0.07665031,-0.040303826,-0.09945153
25,1.43599E+12,-1.376666,9.697714,0.038307227,0.06596016,-0.030529983,-0.08723422
26,1.43599E+12,-1.4089876,9.774328,0.007781155,0.05160483,-0.017090948,-0.08723422
27,1.43599E+12,-1.4377182,9.733627,0.053869538,0.043358147,-0.016480085,-0.091204844
28,1.43599E+12,-1.4341269,9.640852,0.095169514,0.046412475,-0.019839842,-0.08509619
29,1.43599E+12,-1.4311341,9.597756,0.12210429,0.061684106,-0.0241159,-0.08295816
30,1.43599E+12,-1.4431051,9.61691,0.11432313,0.076955736,-0.033278875,-0.080820136
31,1.43599E+12,-1.3838485,9.623494,0.08379706,0.08428612,-0.040303826,-0.076544076
32,1.43599E+12,-1.3491327,9.673772,0.06584055,0.07878833,-0.035722338,-0.08020927
33,1.43599E+12,-1.3335704,9.716867,0.02633622,0.069930784,-0.026864793,-0.07348975
34,1.43599E+12,-1.316811,9.746197,0.002394202,0.054964587,-0.009455133,-0.0682974
35,1.43599E+12,-1.3401544,9.706693,0.020949265,0.046107043,0.012841448,-0.06890826
36,1.43599E+12,-1.4095862,9.683349,0.047285482,0.049161367,0.012230583,-0.07623865
37,1.43599E+12,-1.4173675,9.659407,0.054468088,0.064433,0.006427363,-0.08570705
38,1.43599E+12,-1.435324,9.671378,0.05207389,0.062600404,-0.008233402,-0.0963972
39,1.43599E+12,-1.4149733,9.698911,0.03232172,0.06596016,-0.023505034,-0.099756956
40,1.43599E+12,-1.3814543,9.706693,0.046686932,0.06229497,-0.03388974,-0.097008064
41,1.43599E+12,-1.3850456,9.6923275,0.040102877,0.06015694,-0.029613687,-0.09578633
42,1.43599E+12,-1.3718776,9.6845455,0.05207389,0.05862978,-0.028697388,-0.09181571
43,1.43599E+12,-1.4155718,9.667188,0.06703765,0.05832435,-0.021672437,-0.09181571
44,1.43599E+12,-1.4191631,9.661202,0.04249708,0.063822135,-0.007927969,-0.088455945
45,1.43599E+12,-1.4269443,9.634268,0.078410104,0.06748733,-0.006400805,-0.08295816
46,1.43599E+12,-1.429937,9.640852,0.044891283,0.069930784,-0.007317103,-0.0805147
47,1.43599E+12,-1.435324,9.663596,0.05207389,0.06687646,-0.013120323,-0.075016916
48,1.43599E+12,-1.423353,9.687539,0.040102877,0.06870906,-0.012204025,-0.06890826
49,1.43599E+12,-1.3874398,9.69532,0.018555064,0.0662656,-0.023199601,-0.0682974
50,1.43599E+12,-1.3557167,9.677363,0.01436521,0.06015694,-0.01861811,-0.07471148
51,1.43599E+12,-1.3754689,9.703101,0.012569559,0.06229497,-0.023505034,-0.07746038
52,1.43599E+12,-1.3844471,9.677961,0.018555064,0.059546076,-0.025337629,-0.08356903
53,1.43599E+12,-1.38325,9.706693,0.038307227,0.064127564,-0.030529983,-0.082347296
54,1.43599E+12,-1.3844471,9.681553,0.044891283,0.06473843,-0.036638636,-0.09212114
55,1.43599E+12,-1.3676877,9.6845455,0.02633622,0.06015694,-0.04305272,-0.08937225
56,1.43599E+12,-1.3652935,9.648633,0.050278235,0.0662656,-0.051604833,-0.088455945
57,1.43599E+12,-1.3563153,9.689933,0.05805939,0.07329054,-0.049161375,-0.08906682
58,1.43599E+12,-1.3742718,9.685743,0.060453594,0.06596016,-0.038471233,-0.09517547
59,1.43599E+12,-1.3545196,9.639056,0.059855044,0.07054165,-0.030529983,-0.10525474
60,1.43599E+12,-1.395221,9.660006,0.049081136,0.08184266,-0.03022455,-0.10036782
61,1.43599E+12,-1.4089876,9.718064,-0.011971008,0.069930784,-0.025337629,-0.0954809
62,1.43599E+12,-1.460463,9.757569,-0.034715924,0.05435372,-0.012204025,-0.09151027
63,1.43599E+12,-1.4706384,9.631275,0.02873042,0.04793964,-0.017090948,-0.079598404
64,1.43599E+12,-1.4377182,9.642049,0.038307227,0.054659154,-0.025032196,-0.07318432
65,1.43599E+12,-1.4401124,9.642049,0.046686932,0.05435372,-0.03022455,-0.07990383
66,1.43599E+12,-1.4053963,9.642049,0.05746084,0.058935214,-0.035111472,-0.08326359
67,1.43599E+12,-1.3910311,9.679757,0.05566519,0.06718189,-0.03236258,-0.08967768
68,1.43599E+12,-1.3856442,9.711481,0.031124622,0.0635167,-0.032057147,-0.08784509
69,1.43599E+12,-1.3742718,9.696517,0.006584055,0.05740805,-0.023199601,-0.08173643
70,1.43599E+12,-1.364695,9.697116,-0.007182605,0.05160483,-0.013120323,-0.086928785
