id,attr_time,a_x,a_y,a_z,g_x,g_y,g_z
1,1.43599E+12,-2.891597,9.324817,0.04249708,-0.015112285,0.077367395,-0.17575656
2,1.43599E+12,-2.9119477,9.337985,0.023942016,-0.018472044,0.0782837,-0.1565143
3,1.43599E+12,-2.89459,9.332,0.04129998,-0.013890554,0.08591951,-0.14765675
4,1.43599E+12,-2.8592753,9.305663,0.029927522,-0.008392766,0.0746185,-0.13971551
5,1.43599E+12,-2.823961,9.351752,0.007182605,-0.009003632,0.06942615,-0.13635576
6,1.43599E+12,-2.806603,9.368511,0.003591303,-0.000756951,0.061790332,-0.13513403
7,1.43599E+12,-2.7736826,9.3822775,0.001795651,-0.000451518,0.054459948,-0.14399156
8,1.43599E+12,-2.7449522,9.3738985,-0.017357962,-0.005949305,0.04193721,-0.14857306
9,1.43599E+12,-2.7275944,9.346365,0.027533319,-0.006254738,0.044380672,-0.15590344
10,1.43599E+12,-2.7461493,9.385271,-0.01436521,-0.001978682,0.041631777,-0.16262296
11,1.43599E+12,-2.735974,9.357139,-0.025737667,-0.004727576,0.04193721,-0.17209136
12,1.43599E+12,-2.7629087,9.328408,-0.030526072,-0.009003632,0.03827202,-0.17820002
13,1.43599E+12,-2.8293478,9.431359,-0.074818805,-0.006254738,0.043769807,-0.17606199
14,1.43599E+12,-2.8772318,9.434352,-0.09876082,-0.01572315,0.04774043,-0.17911632
15,1.43599E+12,-2.9221232,9.391854,-0.06464344,-0.030689348,0.051100187,-0.17636743
16,1.43599E+12,-2.8975825,9.34397,-0.04070143,-0.04412838,0.0324688,-0.17209136
17,1.43599E+12,-2.8898015,9.333197,-0.005985504,-0.044739246,0.018418899,-0.1574306
18,1.43599E+12,-2.8808231,9.299678,0.048482586,-0.049015306,-0.003572252,-0.14582416
19,1.43599E+12,-2.8329391,9.317635,0.08140286,-0.04351752,-0.023119938,-0.13879922
20,1.43599E+12,-2.7688942,9.3499565,0.09756372,-0.038630597,-0.036864404,-0.132996
21,1.43599E+12,-2.6916811,9.34397,0.109534726,-0.032827377,-0.039307866,-0.12871994
22,1.43599E+12,-2.6473885,9.405023,0.12210429,-0.025496993,-0.028617729,-0.1256656
23,1.43599E+12,-2.6210523,9.365519,0.16400282,-0.030689348,-0.017927583,-0.13207969
